List Number	Title	Work GND ID	Work Wikidata ID	Work Goodreads ID	volumes	Author	Author GND ID	Author Wikidata ID	sex or gender (P21)	publication date (P577)	Publication year (EDTF)	language of work or name (P407)	Language category
17	Wuthering Heights	4136057-6	Q202975	1565818		Emily Brontë	118638017	Q80137	female	1847-01-01T00:00:00Z	1847	British English	English
18	Jane Eyre	4119812-8	Q182961	2977639		Charlotte Brontë	118638009	Q127332	female	1847-01-01T00:00:00Z	1847	English	English
19	Vanity Fair	4225151-5	Q612836	1057468		William Makepeace Thackeray	118621483	Q167768	male	1848-01-01T00:00:00Z	1848	English	English
20	The Scarlet Letter	4301175-5	Q907568	4925227		Nathaniel Hawthorne	118709305	Q69339	male	1850-01-01T00:00:00Z	1850	English	English
21	Moby-Dick	4204518-6	Q174596	2409320		Herman Melville	118580604	Q4985	male	1851-10-18T00:00Z;1851-11-14T00:00Z	1851	English	English
22	Madame Bovary	4099183-0	Q193417	2766347		Gustave Flaubert	118533754	Q43444	male	1857-01-01T00:00:00Z	1857	French	French
23	The Woman in White	4371325-7	Q1212672	1303710		Wilkie Collins	118638432	Q210740	male	1860-01-01T00:00:00Z	1860	English	English
24	Alice's Adventures In Wonderland	4295896-9	Q92640	55548884		Lewis Carroll	11851928X	Q38082	male	1865-01-01T00:00:00Z	1865	British English	English
25	Little Women	4368763-5	Q523076	3244642		Louisa M. Alcott	118644475	Q185696	female	1861-01-01T00:00:00Z	1861	English	English
26	The Way We Live Now	4686911-6	Q7773866	2152551		Anthony Trollope	118624091	Q318399	male	1875-01-01T00:00:00Z	1875	British English	English
27	Anna Karenina	4137252-9	Q147787	2507928		Leo Tolstoy	11864291X	Q7243	male	1877-01-01T00:00:00Z	1877	Russian	Russian
28	Daniel Deronda	4376153-7	Q552238	313957		George Eliot	118529846	Q131333	female	1876-01-01T00:00:00Z	1876	English	English
29	The Brothers Karamazov	4198690-8	Q183157	3393910		Fyodor Dostoevsky	118527053	Q991	male	1880-01-01T00:00:00Z	1880	Russian	Russian
30	The Portrait of a Lady	4251250-5	Q861017	1434368		Henry James	118556835	Q170509	male	1881-01-01T00:00:00Z	1881	English	English
31	Huckleberry Finn	4311319-9	Q215410	1835605		Mark Twain	118624822	Q7245	male	1884-01-01T00:00:00Z	1884	English	English
32	The Strange Case of Dr Jekyll and Mr Hyde	4390920-6	Q217352	3164921		Robert Louis Stevenson	118753711	Q1512	male	1886-01-01T00:00:00Z	1886	English	English
33	Three Men in a Boat	4569007-8	Q955910	4476508		Jerome K. Jerome	117115517	Q218698	male	1889-01-01T00:00:00Z	1889	English	English
34	The Picture of Dorian Gray	4130762-8	Q82464	1858012		Oscar Wilde	118632779	Q30875	male	1890-01-01T00:00Z;1891-01-01T00:00Z	{1890,1891}	English	English
35	The Diary of a Nobody		Q864150	2164537		George Grossmith	172118654	Q1564825	male		1892	English	English
36	Jude the Obscure	4329968-4	Q1248773	41342119		Thomas Hardy	118545930	Q132805	male	1895-01-01T00:00:00Z	1895	English	English
37	The Riddle of the Sands	4686882-3	Q134466611	395911		Erskine Childers	119384140	Q1270441	male	1903-01-01T00:00:00Z	1903	English	English
38	The Call of the Wild	4488621-4	Q476871	3252320		Jack London	118574183	Q45765	male	1903-01-01T00:00:00Z	1903	English	English
39	Nostromo	4239509-4	Q430248	678519		Joseph Conrad	118521861	Q82925	male	1904-01-01T00:00:00Z	1904	English	English
40	The Wind in the Willows	4369569-3	Q936276	1061285		Kenneth Grahame	118718398	Q314897	male	1908-01-01T00:00:00Z	1908	English	English
41	In Search of Lost Time	4006834-1	Q464928	21467164	7	Marcel Proust	118596799	Q7199	male	2000-01-01T00:00:00Z	{1913,1919,1920,1921,1922,1923,1925,1927}	French	French
42	The Rainbow	4237290-2	Q3288936	2337578		D. H. Lawrence	118570358	Q34970	male	1915-01-01T00:00:00Z	1915	English	English
43	The Good Soldier	4519364-2	Q767802	1881188		Ford Madox Ford	118639064	Q537112	male	1915-03-01T00:00:00Z	1915	English	English
44	The Thirty-Nine Steps	4572016-2	Q2609365	2422487		John Buchan	11863805X	Q333004	male	1915-01-01T00:00:00Z	1915	British English;English	English
45	Ulysses	4099246-9	Q6511	2368224		James Joyce	118558501	Q6882	male	1922-02-02T00:00:00Z	1922	English	English
46	Mrs Dalloway	4316776-7	Q752584	841320		Virginia Woolf	118635174	Q40909	female	1925-05-14T00:00:00Z	1925	British English	English
47	A Passage to India	4281821-7	Q622303	4574850		EM Forster	118534408	Q189119	male	1924-06-04T00:00:00Z	1924	British English;English	English
48	The Great Gatsby	4316711-1	Q214371	245494		F. Scott Fitzgerald	118533592	Q93354	male	1925-04-10T00:00:00Z	1925	English	English
49	The Trial	4099250-0	Q36097	2965832		Franz Kafka	118559230	Q905	male	1925-01-01T00:00:00Z	1925	German	German
50	Men Without Women	4329930-1	Q4179831	764891		Ernest Hemingway	118549030	Q23434	male	1927-01-01T00:00:00Z	1927	English	English
51	Journey to the End of the Night	4266523-1	Q774233	1551463		Louis-Ferdinand Celine	118519867	Q151820	male	1932-01-01T00:00:00Z	1932	French	French
52	As I Lay Dying	1249964385	Q1544119	481854		William Faulkner	118532081	Q38392	male	1930-01-01T00:00:00Z	1930	American English;English	English
53	Brave New World	4113976-8	Q191949	3204877		Aldous Huxley	118555081	Q81447	male	1932-01-01T00:00:00Z	1932	English	English
54	Scoop	4686843-4	Q1029093	1001166		Evelyn Waugh	118765779	Q107002	male	1938-01-01T00:00:00Z	1938	English	English
55	USA	4113342-0	Q971694	6503267	3	John Dos Passos	118527002	Q312407	male		{1930,1932,1936}	English	English
56	The Big Sleep	4447226-2	Q1649862	1222673		Raymond Chandler	118520059	Q180377	male	1939-01-01T00:00:00Z	1939	American English	English
57	The Pursuit Of Love	4436324-2	Q3576797	821072		Nancy Mitford	118784269	Q260026	female	1945-01-01T00:00:00Z	1945	English	English
58	The Plague	4131560-1	Q320372	2058116		Albert Camus	118518739	Q34670	male	1947-01-01T00:00:00Z	1947	French	French
59	Nineteen Eighty-Four	4099325-5	Q208460	153313		George Orwell	118590359	Q3335	male	1949-01-01T00:00:00Z	1949	English;Newspeak	English
60	Malone Dies	4264406-9	Q540991	3198398		Samuel Beckett	118508172	Q37327	male	1951-01-01T00:00:00Z	1951	French	French
61	Catcher in the Rye	4120008-1	Q183883	3036731		J.D. Salinger	118605054	Q79904	male	1951-07-16T00:00:00Z	1951	English	English
62	Wise Blood	4383070-5	Q4305774	1046530		Flannery O'Connor	11858930X	Q234579	female	1952-05-15T00:00:00Z	1952	American English	English
63	Charlotte's Web	4354911-1	Q45735	987048		EB White	118807129	Q361617	male	1952-01-01T00:00:00Z	1952	English	English
64	The Lord Of The Rings	4124318-3	Q15228	3462456	3	J. R. R. Tolkien	118623222	Q892	male	1954-01-01T00:00:00Z	{1954,1955}	English	English
65	Lucky Jim	4447188-9	Q1836777	876732		Kingsley Amis	118645005	Q220078	male	1954-01-01T00:00Z;1954-01-01T00:00Z	1954	English	English
66	Lord of the Flies	4123300-1	Q271764	2766512		William Golding	118696165	Q44183	male	1954-09-18T00:00:00Z	1954	English	English
67	The Quiet American	4678069-5	Q1199651	1469913		Graham Greene	11854179X	Q128560	male	1955-01-01T00:00:00Z	1955	English	English
68	On the Road	4398329-7	Q743180	1701188		Jack Kerouac	118561561	Q160534	male	2003-04-22T00:00:00Z	1957	English	English
69	Lolita	4251287-6	Q127149	1268631		Vladimir Nabokov	118586114	Q36591	male	1955-01-01T00:00:00Z	1955	English	English
70	The Tin Drum	4099211-1	Q899334	922581		Günter Grass	118541579	Q6538	male	1959-01-01T00:00:00Z	1959	German	German
71	Things Fall Apart	4443314-1	Q622400	825843		Chinua Achebe	118646680	Q155845	male	1958-01-01T00:00Z;1968-01-01T00:00Z	1958	English	English
72	The Prime of Miss Jean Brodie	4313606-0	Q2074335	6132856		Muriel Spark	118798197	Q233956	female	1961-01-01T00:00:00Z	1961	English	English
73	To Kill A Mockingbird	4316715-9	Q212340	3275794		Harper Lee	119102579	Q182658	female	1960-07-11T00:00:00Z	1960	American English	English
74	Catch-22	4229273-6	Q278208	814330		Joseph Heller	118815970	Q208101	male	1961-11-10T00:00:00Z	1961	English	English
75	Herzog	4447191-9	Q1424503	2088454		Saul Bellow	118508725	Q83059	male	1964-09-21T00:00:00Z	1964	English	English
76	One Hundred Years of Solitude	4123253-7	Q178869	3295655		Gabriel García Márquez	118537601	Q5878	male	1967-01-01T00:00:00Z	1967	Spanish	Spanish
77	Mrs Palfrey at the Claremont		Q48699655	629233		Elizabeth Taylor	119381893	Q442330	female	1971-01-01T00:00:00Z	1971	English	English
78	Tinker Tailor Soldier Spy	1198513004	Q582811	2491780		John Le Carré	119029375	Q209641	male	1974-06-01T00:00:00Z	1974	English	English
79	Song of Solomon	4301574-8	Q3480330	3215642		Toni Morrison	118911627	Q72334	female	1977-01-01T00:00:00Z	1977	English	English
80	The Bottle Factory Outing		Q208808	2993027		Beryl Bainbridge	119110555	Q237242	female	1975-01-01T00:00:00Z	1975	English	English
81	The Executioner's Song	4451947-3	Q3068515	838965		Norman Mailer	118576461	Q180962	male	1979-01-01T00:00:00Z	1979	English	English
82	If on a Winter's Night a Traveller	4257232-0	Q1032190	1116802		Italo Calvino	118518542	Q154756	male	1979-01-01T00:00:00Z	1979	Italian	Italian
83	A Bend in the River	4561804-5	Q482567	1158939		VS Naipaul	118737929	Q44593	male	1979-05-01T00:00:00Z	1979	English	English
84	Waiting for the Barbarians	4409664-1	Q1565837	1155689		JM Coetzee	118895117	Q43293	male	1980-01-01T00:00:00Z	1980	English	English
85	Housekeeping	4591807-7	Q5915883	1056302		Marilynne Robinson	122067401	Q253926	female	1980-01-01T00:00:00Z	1980	English	English
86	Lanark	4738453-0	Q6482902	958496		Alasdair Gray	118986171	Q729121	male	1981-01-01T00:00:00Z	1981	English	English
87	The New York Trilogy	4405808-1	Q1215203	2343071	3	Paul Auster	11910251X	Q214642	male	1987-01-01T00:00:00Z	{1985,1986}	English	English
88	The BFG	4690792-0	Q1476462	1249788		Roald Dahl	118630962	Q25161	male	1982-01-01T00:00:00Z	1982	English	English
89	The Periodic Table	7570759-7	Q2249636	1533977		Primo Levi	118572326	Q153670	male	1975-01-01T00:00:00Z	1975	Italian	Italian
90	Money	1029251290	Q3860773	85999		Martin Amis	119332183	Q310176	male	1984-01-01T00:00:00Z	1984	English	English
91	An Artist of the Floating World		Q4003685	2464610		Kazuo Ishiguro	119484978	Q272855	male	1986-01-01T00:00:00Z	1986	English	English
92	Oscar And Lucinda	1097274802	Q1060522	2304710		Peter Carey	119392348	Q313254	male	1988-01-01T00:00:00Z	1988	English	English
93	The Book of Laughter and Forgetting	4287655-2	Q2723517	3428728		Milan Kundera	118568043	Q93166	male	1979-01-01T00:00:00Z	1979	Czech	Czech
94	Haroun and the Sea of Stories	4390325-3	Q897003	1934157		Salman Rushdie	118873520	Q44306	male	1990-09-27T00:00:00Z	1990	English	English
95	LA Confidential	4766145-8	Q1895605	2589940		James Ellroy	115485058	Q318487	male	1990-01-01T00:00:00Z	1990	English	English
96	Wise Children	4805471-9	Q3744835	2877086		Angela Carter	119058804	Q234519	female	1991-01-01T00:00:00Z	1991	English	English
97	Atonement	4802066-7	Q306619	2307233		Ian McEwan	119252694	Q190379	male	2001-01-01T00:00:00Z	2001	English	English
98	Northern Lights	7588090-8	Q169976	1536771		Philip Pullman	120578417	Q190220	male	1995-07-09T00:00:00Z	1995	English	English
99	American Pastoral	7543861-6	Q470057	598119		Philip Roth	118803433	Q187019	male		1997	English	English
100	Austerlitz	4792721-5	Q473389	2193696		 W. G. Sebald	119310007	Q76952	male	2001-11-06T00:00:00Z	2001	German	German
