List Number	Title	Author	Work GND ID	Work Wikidata ID	Work Goodreads ID	Author GND ID	Author Wikidata ID	sex or gender (P21)	volumes	publication date (P577)	Publication year (EDTF)	language of work or name (P407)	Language category
41	The Handmaid’s Tale	Margaret Atwood	4460070-7	Q1541914	1119185	118646168	Q183492	female		1985-08-00T00:00:00Z	1985	English	English
41	The Secret History	Donna Tartt	7500535-9	Q1218321	221359	12499606X	Q255339	female		1992-09-01T00:00:00Z	1992	English	English
46	Lolita	Vladimir Nabokov	4251287-6	Q127149	1268631	118586114	Q36591	male		1955-01-01T00:00:00Z	1955	English	English
46	The Hitchhiker’s Guide to the Galaxy	Douglas Adams	4283976-2	Q3107329	3078186	119033364	Q42	male		1979-10-12T00:00:00Z	1979	British English;English	English
46	Watership Down	Richard Adams		Q936801	1357456	120675285	Q313289	male		1972-11-01T00:00:00Z	1972	English	English
49	A Tale of Two Cities	Charles Dickens	4293539-8	Q308918	2956372	118525239	Q5686	male		+1859-00-00T00:00:00Z	1859	English	English
49	Atonement	Ian McEwan	4802066-7	Q306619	2307233	119252694	Q190379	male		2001-00-00T00:00:00Z	2001	English	English
49	David Copperfield	Charles Dickens	4259699-3	Q189811	4711940	118525239	Q5686	male		1850-01-01T00:00:00Z	1850	English	English
52	Birdsong	Sebastian Faulks	7694764-6	Q3405048	1093016	115588973	Q443055	male		+1993-09-16T00:00:00Z	1993	English	English
52	Emma	Jane Austen	4277660-0	Q223880	3360164	118505173	Q36322	female		1815-12-23T00:00:00Z	1815	English	English
52	Lonesome Dove	Larry McMurtry	7613478-7	Q973883	3281465	118992171	Q611672	male		1985-00-00T00:00:00Z	1985	English	English
52	The God of Small Things	Arundhati Roy	4595927-4	Q378786	810135	115693424	Q212801	female		1997-00-00T00:00:00Z	1997	English	English
52	The Magic Mountain	Thomas Mann	4099303-6	Q212898	647489	118577166	Q37030	male		1924-00-00T00:00:00Z	1924	German	German
57	2666	Roberto Bolaño	1045769193	Q219437	3294830	120894076	Q297532	male		2004-00-00T00:00:00Z	2004	Spanish	Spanish
57	Cloud Atlas	David Mitchell	1029094926	Q40205	1871423	12919302X	Q40479	male		2004-03-00T00:00:00Z	2004	English	English
57	Never Let Me Go	Kazuo Ishiguro	7705755-7	Q951587	1499998	119484978	Q272855	male		2005-04-00T00:00:00Z	2005	English	English
60	A Gentleman in Moscow	Amor Towles	1140251732	Q65048798	45743836	143776479	Q11685653	male		+2016-00-00T00:00:00Z	2016	English	English
60	Possession	AS Byatt	4472787-2	Q428581	2246190	118946382	Q232417	female		1990-00-00T00:00:00Z	1990	English	English
62	Midnight’s Children	Salman Rushdie	4371195-9	Q625764	1024288	118873520	Q44306	male		1981-00-00T00:00:00Z	1981	English	English
63	Demon Copperhead	Barbara Kingsolver		Q115526836	94935539	118013874	Q1264643	female		2022-10-18T00:00:00Z	2022	English	English
63	Germinal	Émile Zola	4221251-0	Q137869	941651	118637223	Q504	male			1885	French	French
63	Madame Bovary	Gustave Flaubert	4099183-0	Q193417	2766347	118533754	Q43444	male		1857-00-00T00:00:00Z	1857	French	French
63	Neapolitan Quartet	Elena Ferrante		Q22981812		113749678	Q368127	female		2014-00-00T00:00:00Z	2014	Italian	Italian
63	Rebecca	Daphne du Maurier	4557830-8	Q1334940	46663	118528084	Q193357	female		1938-00-00T00:00:00Z	1938	English	English
63	The Outsider	Albert Camus	4236814-5	Q163297	3324344	118518739	Q34670	male		1942-00-00T00:00:00Z	1942	French	French
63	The Tin Drum	Günter Grass	4313438-5	Q899334	922581	118541579	Q6538	male		1959-00-00T00:00:00Z	1959	German	German
70	Piranesi	Susanna Clarke		Q99434216	73586702	130453927	Q232772	female		2020-09-15T00:00:00Z	2020	English	English
70	The Dispossessed	Ursula K Le Guin	4237614-2	Q467720	2684122	118923382	Q181659	female		1974-05-00T00:00:00Z	1974	English	English
70	To the Lighthouse	Virginia Woolf	4204721-3	Q478016	1323448	118635174	Q40909	female		1927-00-00T00:00:00Z	1927	British English	English
73	On the Road	Jack Kerouac	4398329-7	Q743180	1701188	118561561	Q160534	male		2003-04-22T00:00:00Z	2003	English	English
73	The Unbearable Lightness of Being	Milan Kundera	4304713-0	Q917055	4489585	118568043	Q93166	male		1984-00-00T00:00:00Z	1984	Czech	Czech
75	Brave New World	Aldous Huxley	4113976-8	Q191949	3204877	118555081	Q81447	male		1932-01-01T00:00:00Z	1932	English	English
75	Brideshead Revisited	Evelyn Waugh	4243964-4	Q6992413	2952196	118765779	Q107002	male		1945-00-00T00:00:00Z	1945	English	English
75	The Old Man and the Sea	Ernest Hemingway	4099230-5	Q26505	69741	118549030	Q23434	male				American English	English
75	The Sun Also Rises	Ernest Hemingway	4254325-3	Q501351	589497	118549030	Q23434	male		1926-10-22T00:00:00Z	1926	English	English
75	Tinker Tailor Soldier Spy	John le Carré	1198513004	Q582811	2491780	119029375	Q209641	male		1974-06-01T00:00:00Z	1974	English	English
80	Absalom, Absalom!	William Faulkner	4113528-3	Q2181982	1595511	118532081	Q38392	male		1936-00-00T00:00:00Z	1936	American English	English
80	Dune	Frank Herbert	4228175-1	Q190192	3634639	118897772	Q7934	male		1965-00-00T00:00:00Z	1965	American English	English
80	For Whom the Bell Tolls	Ernest Hemingway	4099229-9	Q200920	2252079	118549030	Q23434	male		1940-10-21T00:00:00Z	1940	English	English
80	Jonathan Strange & Mr Norrell	Susanna Clarke	1259735850	Q1474920	3921305	130453927	Q232772	female		2004-09-08T00:00:00Z	2004	English	English
80	Memoirs of Hadrian	Marguerite Yourcenar	4354263-3	Q1233795	1064574	118643460	Q163118	female		1951-01-01T00:00:00Z	1951	French	French
80	Tess of the d’Urbervilles	Thomas Hardy	4132638-6	Q649409	3331021	118545930	Q132805	male		1891-00-00T00:00:00Z	1891	English	English
80	The Life and Opinions of Tristram Shandy, Gentleman	Laurence Sterne	4099376-0	Q1164083	2280279	11861794X	Q218960	male		1759-01-01T00:00:00Z	1759/1767	English	English
80	The Name of the Rose	Umberto Eco	4099176-3	Q172850	3138328	11852884X	Q12807	male		1980-00-00T00:00:00Z	1980	Italian	Italian
80	The Picture of Dorian Gray	Oscar Wilde	4130762-8	Q82464	1858012	118632779	Q30875	male		1890-01-01T00:00Z;1891-01-01T00:00Z	{1890,1891}	English	English
80	The Plague	Albert Camus	4131560-1	Q320372	2058116	118518739	Q34670	male		1947-00-00T00:00:00Z	1947	French	French
80	The Red and the Black	Stendhal	4302994-2	Q192649	1028281	118617648	Q502	male		1830-11-00T00:00:00Z	1830	French	French
80	The Road	Cormac McCarthy	7698101-0	Q1140295	3355573	118873822	Q272610	male		2006-09-26T00:00:00Z	2006	American English;English	English
80	The Stand	Stephen King	4394803-0	Q149552	1742269	118813250	Q39829	male		1978-09-01T00:00:00Z	1978	English	English
93	A Little Life	Hanya Yanagihara	1136388494	Q20709044	42375710	1076098886	Q20902324	female		2015-00-00T00:00:00Z	2015	English	English
93	All the Light We Cannot See	Anthony Doerr	108383763X	Q18109559	25491300	130232289	Q2754186	male		2014-05-06T00:00:00Z	2014	American English	English
93	Animal Farm	George Orwell	4279895-4	Q1396889	2207778	118590359	Q3335	male		1945-08-17T00:00:00Z	1945	English	English
93	Love in the Time of Cholera	Gabriel García Márquez	4308202-6	Q499396	3285349	118537601	Q5878	male		1985-00-00T00:00:00Z	1985	Spanish	Spanish
93	Mrs Dalloway	Virginia Woolf	4316776-7	Q752584	841320	118635174	Q40909	female		1925-05-14T00:00:00Z	1925	British English	English
93	Of Human Bondage	William Somerset Maugham	4447532-9	Q1195793	2547187	104298324	Q134942	male		1915-00-00T00:00:00Z	1915	English	English
93	The Magus	John Fowles	4281194-6	Q1195350	1816475	118534599	Q214660	male		1965-00-00T00:00:00Z	1965	English	English
100	A Dance to the Music of Time	Anthony Powell	4273867-2	Q1392936		118793144	Q573813	male	12	1951-01-01T00:00:00Z	{1951,1952,1955,1957,1960,1962,1964,1966,1968,1971,1973,1975}	English	English
