List Number	Title	Work GND ID	Work Wikidata ID	Work Goodreads ID	Author	Author GND ID	Author Wikidata ID
72	The Prime of Miss Jean Brodie	4313606-0	Q2074335	6132856	Muriel Spark	118798197	Q233956
73	To Kill A Mockingbird	4316715-9	Q212340	3275794	Harper Lee	119102579	Q182658
74	Catch-22	4229273-6	Q278208	814330	Joseph Heller	118815970	Q208101
75	Herzog	4447191-9	Q1424503	2088454	Saul Bellow	118508725	Q83059
76	One Hundred Years of Solitude	4123253-7	Q178869	3295655	Gabriel García Márquez	118537601	Q5878
77	Mrs Palfrey at the Claremont		Q48699655	629233	Elizabeth Taylor	119381893	Q442330
78	Tinker Tailor Soldier Spy	1198513004	Q582811	2491780	John Le Carré	119029375	Q209641
79	Song of Solomon	4301574-8	Q3480330	3215642	Toni Morrison	118911627	Q72334
80	The Bottle Factory Outing		Q208808	2993027	Beryl Bainbridge	119110555	Q237242
81	The Executioner's Song	4451947-3	Q3068515	838965	Norman Mailer	118576461	Q180962
82	If on a Winter's Night a Traveller	4257232-0	Q1032190	1116802	Italo Calvino	118518542	Q154756
83	A Bend in the River	4561804-5	Q482567	1158939	VS Naipaul	118737929	Q44593
84	Waiting for the Barbarians	4409664-1	Q1565837	1155689	JM Coetzee	118895117	Q43293
85	Housekeeping	4591807-7	Q5915883	1056302	Marilynne Robinson	122067401	Q253926
86	Lanark	4738453-0	Q6482902	958496	Alasdair Gray	118986171	Q729121
87	The New York Trilogy	4405808-1	Q1215203	2343071	Paul Auster	11910251X	Q214642
88	The BFG	4690792-0	Q1476462	1249788	Roald Dahl	118630962	Q25161
89	The Periodic Table	7570759-7	Q2249636	1533977	Primo Levi	118572326	Q153670
90	Money	1029251290	Q3860773	85999	Martin Amis	119332183	Q310176
91	An Artist of the Floating World		Q4003685	2464610	Kazuo Ishiguro	119484978	Q272855
92	Oscar And Lucinda	1097274802	Q1060522	2304710	Peter Carey	119392348	Q313254
93	The Book of Laughter and Forgetting	4287655-2	Q2723517	3428728	Milan Kundera	118568043	Q93166
94	Haroun and the Sea of Stories	4390325-3	Q897003	1934157	Salman Rushdie	118873520	Q44306
95	LA Confidential	4766145-8	Q1895605	2589940	James Ellroy	115485058	Q318487
96	Wise Children	4805471-9	Q3744835	2877086	Angela Carter	119058804	Q234519
97	Atonement	4802066-7	Q306619	2307233	Ian McEwan	119252694	Q190379
98	Northern Lights	7588090-8	Q169976	1536771	Philip Pullman	120578417	Q190220
99	American Pastoral	7543861-6	Q470057	598119	Philip Roth	118803433	Q187019
100	Austerlitz	4792721-5	Q473389	2193696	 W. G. Sebald	119310007	Q76952
